dataset,fold,mode,a,b,exploratory
oral_diseases,5,full,"[0.22050000727176666, 0.24469999969005585, 0.25589999556541443, 0.211899995803833, 0.28929999470710754, 0.2134999930858612, 0.24889999628067017]","[0.09000000357627869, -0.4074000120162964, 0.07419999688863754, 0.22339999675750732, -0.25450000166893005, 0.13019999861717224, 0.14409999549388885]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,5,offset,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.2231999933719635, -0.49869999289512634, 0.4555000066757202, -0.4083999991416931, 0.15539999306201935, -0.44839999079704285, 0.521399974822998]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,5,scale,"[0.225600004196167, 0.22390000522136688, 0.25839999318122864, 0.2240999937057495, 0.2653000056743622, 0.21889999508857727, 0.2565999925136566]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,6,full,"[0.2646999955177307, 0.28279998898506165, 0.2782999873161316, 0.19910000264644623, 0.290800005197525, 0.2152000069618225, 0.2678999900817871]","[0.08309999853372574, -0.38510000705718994, 0.0008999999845400453, 0.43880000710487366, -0.365200012922287, 0.22429999709129333, 0.0031999999191612005]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,6,offset,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.15680000185966492, -0.4788999855518341, 0.08789999783039093, 0.06729999929666519, 0.10109999775886536, -0.36250001192092896, 0.42829999327659607]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,6,scale,"[0.2680000066757202, 0.25839999318122864, 0.27300000190734863, 0.22930000722408295, 0.26109999418258667, 0.22779999673366547, 0.2646999955177307]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,7,full,"[0.33379998803138733, 0.33640000224113464, 0.30000001192092896, 0.21400000154972076, 0.2671000063419342, 0.2533999979496002, 0.25600001215934753]","[-0.26339998841285706, -0.37459999322891235, 0.08489999920129776, 0.3910999894142151, -0.025499999523162842, -0.032499998807907104, 0.2199999988079071]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,7,offset,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.023099999874830246, -0.2084999978542328, 0.4268999993801117, -0.3127000033855438, -0.046300001442432404, -0.4309000074863434, 0.5483999848365784]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,7,scale,"[0.3100999891757965, 0.3077999949455261, 0.30230000615119934, 0.23999999463558197, 0.2606000006198883, 0.24449999630451202, 0.26930001378059387]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,8,full,"[0.2689000070095062, 0.2842000126838684, 0.2754000127315521, 0.19140000641345978, 0.25209999084472656, 0.21699999272823334, 0.24779999256134033]","[-0.05909999832510948, -0.31139999628067017, 0.03759999945759773, 0.20919999480247498, -0.045499999076128006, 0.07829999923706055, 0.09080000221729279]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,8,offset,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.2533999979496002, -0.263700008392334, 0.6032000184059143, -0.9573000073432922, 0.16140000522136688, -0.3206999897956848, 0.5238000154495239]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,8,scale,"[0.2624000012874603, 0.2653000056743622, 0.27379998564720154, 0.19789999723434448, 0.24300000071525574, 0.21789999306201935, 0.25]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,9,full,"[0.2660999894142151, 0.28870001435279846, 0.2596000134944916, 0.20100000500679016, 0.2849999964237213, 0.21289999783039093, 0.29420000314712524]","[-0.09640000015497208, -0.3765999972820282, 0.09220000356435776, 0.25049999356269836, -0.11860000342130661, 0.23800000548362732, 0.010900000110268593]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,9,offset,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[-0.17800000309944153, -0.42910000681877136, 0.11479999870061874, -0.6807000041007996, 0.41760000586509705, -0.06989999860525131, 0.8252999782562256]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,9,scale,"[0.25699999928474426, 0.2644999921321869, 0.2619999945163727, 0.21250000596046448, 0.2705000042915344, 0.2282000035047531, 0.29030001163482666]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,10,full,"[0.23849999904632568, 0.27000001072883606, 0.2295999974012375, 0.2198999971151352, 0.27230000495910645, 0.21250000596046448, 0.20419999957084656]","[-0.10090000182390213, -0.4043000042438507, 0.24819999933242798, 0.0697999969124794, -0.22939999401569366, -0.01510000042617321, 0.4316999912261963]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,10,offset,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[-0.13249999284744263, -0.4749000072479248, 0.41200000047683716, -0.2596000134944916, 0.10540000349283218, -0.8235999941825867, 1.173200011253357]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,10,scale,"[0.23080000281333923, 0.24690000712871552, 0.2460000067949295, 0.21809999644756317, 0.2485000044107437, 0.20170000195503235, 0.2345999926328659]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,11,full,"[0.2786000072956085, 0.2623000144958496, 0.27889999747276306, 0.21130000054836273, 0.2825999855995178, 0.2102999985218048, 0.27880001068115234]","[-0.034299999475479126, -0.3142000138759613, 0.10520000010728836, 0.2808000147342682, -0.1835000067949295, 0.1729000061750412, -0.027000000700354576]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,11,offset,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.328900009393692, -0.492900013923645, 0.486299991607666, -0.31290000677108765, 0.35199999809265137, -0.7264000177383423, 0.3650999963283539]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,11,scale,"[0.27399998903274536, 0.24469999969005585, 0.28349998593330383, 0.2280000001192093, 0.2655999958515167, 0.21780000627040863, 0.2728999853134155]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,12,full,"[0.26989999413490295, 0.2395000010728836, 0.23520000278949738, 0.2150000035762787, 0.2671000063419342, 0.20990000665187836, 0.24079999327659607]","[-0.20569999516010284, -0.33309999108314514, 0.23919999599456787, 0.17759999632835388, -0.12530000507831573, 0.14550000429153442, 0.10180000215768814]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,12,offset,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.016499999910593033, -0.6553000211715698, 0.49540001153945923, -0.22370000183582306, 0.3353999853134155, -0.3086000084877014, 0.34040001034736633]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,12,scale,"[0.2526000142097473, 0.22300000488758087, 0.2526000142097473, 0.22460000216960907, 0.2542000114917755, 0.21739999949932098, 0.24560000002384186]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,13,full,"[0.2939999997615814, 0.3118000030517578, 0.31610000133514404, 0.21770000457763672, 0.30820000171661377, 0.2393999993801117, 0.2676999866962433]","[-0.12809999287128448, -0.40779998898506165, 0.0357000008225441, 0.4011000096797943, -0.358599990606308, 0.16830000281333923, 0.28929999470710754]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,13,offset,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[-0.2816999852657318, -0.3587999939918518, 0.4699000120162964, -0.2651999890804291, -0.17399999499320984, -0.1776999980211258, 0.7875999808311462]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,13,scale,"[0.2808000147342682, 0.2849999964237213, 0.31290000677108765, 0.24480000138282776, 0.2777999937534332, 0.2483000010251999, 0.28839999437332153]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,14,full,"[0.27950000762939453, 0.26759999990463257, 0.2671000063419342, 0.24289999902248383, 0.32739999890327454, 0.2515000104904175, 0.34130001068115234]","[-0.10409999638795853, -0.32350000739097595, 0.44519999623298645, 0.32580000162124634, -0.3037000000476837, 0.20100000500679016, -0.24070000648498535]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,14,offset,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[-0.258899986743927, -0.6822999715805054, 0.7857000231742859, -0.11169999837875366, 0.16140000522136688, -0.250900000333786, 0.35679998993873596]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,14,scale,"[0.2678000032901764, 0.24809999763965607, 0.30300000309944153, 0.265500009059906, 0.30090001225471497, 0.2628999948501587, 0.31619998812675476]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
