dataset,arm,mode,fold,a,b,exploratory
oral_diseases,A0,full,7,"[0.33382999897003174, 0.3363899886608124, 0.3000499904155731, 0.21402999758720398, 0.26712000370025635, 0.25339001417160034, 0.2560200095176697]","[-0.26337000727653503, -0.3745900094509125, 0.08495000004768372, 0.3910999894142151, -0.025529999285936356, -0.03252999857068062, 0.21998000144958496]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,offset,7,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.02305999957025051, -0.20848999917507172, 0.42691001296043396, -0.3127099871635437, -0.046310000121593475, -0.4308899939060211, 0.5484399795532227]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,scale,7,"[0.3101100027561188, 0.3078399896621704, 0.3022800087928772, 0.2400200068950653, 0.26058000326156616, 0.24448999762535095, 0.2693299949169159]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,full,8,"[0.2689400017261505, 0.284170001745224, 0.2754499912261963, 0.19142000377178192, 0.25207000970840454, 0.21704000234603882, 0.2478100061416626]","[-0.059140000492334366, -0.31139999628067017, 0.037620000541210175, 0.20920999348163605, -0.04548000171780586, 0.07833000272512436, 0.09085000306367874]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,offset,8,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.2533800005912781, -0.26374998688697815, 0.60316002368927, -0.957319974899292, 0.1614300012588501, -0.3206999897956848, 0.5237900018692017]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,scale,8,"[0.2624100148677826, 0.26524999737739563, 0.2737700045108795, 0.1978600025177002, 0.24301999807357788, 0.21785999834537506, 0.24995000660419464]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,full,9,"[0.26607000827789307, 0.2886900007724762, 0.2595599889755249, 0.2009499967098236, 0.28497999906539917, 0.21288999915122986, 0.2942200005054474]","[-0.096390001475811, -0.37657999992370605, 0.0922200009226799, 0.25049999356269836, -0.11864999681711197, 0.23802000284194946, 0.010879999957978725]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,offset,9,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[-0.17799000442028046, -0.4291200041770935, 0.11475999653339386, -0.6807000041007996, 0.4175899922847748, -0.06988999992609024, 0.8253399729728699]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,scale,9,"[0.25703001022338867, 0.2644999921321869, 0.2619599997997284, 0.21252000331878662, 0.2705000042915344, 0.22822999954223633, 0.29027000069618225]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,full,10,"[0.23848000168800354, 0.27000999450683594, 0.2295600026845932, 0.2198600023984909, 0.2722499966621399, 0.2125300019979477, 0.2042199969291687]","[-0.10089000314474106, -0.40428999066352844, 0.24818000197410583, 0.06982000172138214, -0.2293899953365326, -0.015119999647140503, 0.4316900074481964]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,offset,10,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[-0.13249999284744263, -0.4749099910259247, 0.41196000576019287, -0.2595899999141693, 0.1053600013256073, -0.8235499858856201, 1.1732399463653564]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,scale,10,"[0.23083999752998352, 0.2468699961900711, 0.24594999849796295, 0.21806000173091888, 0.24851000308990479, 0.20166000723838806, 0.23462000489234924]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,full,11,"[0.2785699963569641, 0.26225000619888306, 0.2789100110530853, 0.21126000583171844, 0.28259000182151794, 0.21031999588012695, 0.2787800133228302]","[-0.03432000055909157, -0.3142400085926056, 0.10524000227451324, 0.28082001209259033, -0.1834699958562851, 0.17293000221252441, -0.026969999074935913]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,offset,11,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.3288800120353699, -0.4929400086402893, 0.48631998896598816, -0.31286001205444336, 0.3519800007343292, -0.7264500260353088, 0.3650699853897095]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,scale,11,"[0.27399998903274536, 0.24467000365257263, 0.28345000743865967, 0.22799000144004822, 0.2655700147151947, 0.21784000098705292, 0.27292999625205994]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,full,12,"[0.26987001299858093, 0.23954999446868896, 0.23521000146865845, 0.2149599939584732, 0.2671400010585785, 0.2099200040102005, 0.24075999855995178]","[-0.20569999516010284, -0.33313998579978943, 0.23917999863624573, 0.1776300072669983, -0.1252799928188324, 0.14548000693321228, 0.10181999951601028]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,offset,12,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.01647000014781952, -0.6553000211715698, 0.4954400062561035, -0.22368000447750092, 0.33535000681877136, -0.30862998962402344, 0.34035998582839966]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,scale,12,"[0.25255000591278076, 0.22302000224590302, 0.2525799870491028, 0.22457000613212585, 0.25415000319480896, 0.21743999421596527, 0.24560000002384186]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,full,13,"[0.2939800024032593, 0.31178000569343567, 0.3160800039768219, 0.21765999495983124, 0.30820998549461365, 0.23935000598430634, 0.26774001121520996]","[-0.1280599981546402, -0.4077500104904175, 0.0357000008225441, 0.4011499881744385, -0.3585599958896637, 0.16824999451637268, 0.28925999999046326]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,offset,13,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[-0.28174999356269836, -0.35881999135017395, 0.469870001077652, -0.2652300000190735, -0.17399999499320984, -0.1776600033044815, 0.7875800132751465]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,scale,13,"[0.2808299958705902, 0.28501999378204346, 0.3129499852657318, 0.2448199987411499, 0.2777700126171112, 0.24829000234603882, 0.288349986076355]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,full,14,"[0.2795400023460388, 0.2675800025463104, 0.2670600116252899, 0.24292999505996704, 0.3274399936199188, 0.2514599859714508, 0.3413099944591522]","[-0.10413999855518341, -0.32346001267433167, 0.4452100098133087, 0.3258199989795685, -0.3037000000476837, 0.2010200023651123, -0.2407499998807907]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,offset,14,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[-0.2589400112628937, -0.6822900176048279, 0.7856699824333191, -0.11169999837875366, 0.16136999428272247, -0.2508699893951416, 0.3567500114440918]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,scale,14,"[0.26778000593185425, 0.24808000028133392, 0.3030399978160858, 0.265500009059906, 0.30090001225471497, 0.26287999749183655, 0.316210001707077]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A1,full,0,"[0.3119199872016907, 0.31529998779296875, 0.33208999037742615, 0.23326000571250916, 0.31231001019477844, 0.230430006980896, 0.28540998697280884]","[-0.17745999991893768, -0.5239599943161011, -0.034290000796318054, 0.3597399890422821, -0.02824000082910061, 0.19294999539852142, 0.21126000583171844]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A1,offset,0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[-0.3083600103855133, -0.6607800126075745, 0.4133400022983551, -0.009549999609589577, 0.41027000546455383, -0.3369399905204773, 0.4920099973678589]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A1,scale,0,"[0.29455000162124634, 0.28108999133110046, 0.3237600028514862, 0.2611899971961975, 0.30465999245643616, 0.24097000062465668, 0.3001500070095062]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A1,full,1,"[0.30403000116348267, 0.32576999068260193, 0.3186599910259247, 0.24981999397277832, 0.3089100122451782, 0.2488200068473816, 0.2823300063610077]","[-0.10948999971151352, -0.37720000743865967, 0.006599999964237213, 0.21585999429225922, -0.0471000000834465, 0.10807999968528748, 0.2032500058412552]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A1,offset,1,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.08845999836921692, -0.2371699959039688, 0.2220499962568283, -0.20813000202178955, 0.17076000571250916, -0.36469000577926636, 0.32870998978614807]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A1,scale,1,"[0.2941499948501587, 0.30171000957489014, 0.3167099952697754, 0.2664699852466583, 0.30191001296043396, 0.2550700008869171, 0.2983799874782562]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A1,full,2,"[0.3297500014305115, 0.3384299874305725, 0.3084000051021576, 0.20452000200748444, 0.30160999298095703, 0.23916999995708466, 0.3152399957180023]","[-0.009359999559819698, -0.4767400026321411, 0.08281999826431274, 0.3933599889278412, -0.15839999914169312, 0.13665999472141266, 0.03167000040411949]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A1,offset,2,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.28971999883651733, -0.43966999650001526, 0.4862099885940552, -0.40731000900268555, -0.038669999688863754, -0.5415800213813782, 0.6512899994850159]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A1,scale,2,"[0.3273400068283081, 0.3074199855327606, 0.3107900023460388, 0.2318899929523468, 0.28176000714302063, 0.2440599948167801, 0.31132999062538147]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A1,full,3,"[0.29269999265670776, 0.31101998686790466, 0.3132300078868866, 0.2245599925518036, 0.3300600051879883, 0.25165998935699463, 0.2731499969959259]","[-0.010859999805688858, -0.5421299934387207, 0.08019000291824341, 0.287339985370636, -0.2201700061559677, 0.07219000160694122, 0.33344000577926636]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A1,offset,3,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[-0.11490000039339066, -0.5168300271034241, 0.24758000671863556, -0.3834100067615509, 0.33640000224113464, -0.2865400016307831, 0.7177000045776367]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A1,scale,3,"[0.2914299964904785, 0.27873000502586365, 0.3160099983215332, 0.24244999885559082, 0.30358999967575073, 0.25213000178337097, 0.29940998554229736]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A1,full,4,"[0.2995699942111969, 0.2824299931526184, 0.2984299957752228, 0.22039000689983368, 0.2924099862575531, 0.19762000441551208, 0.2771500051021576]","[-0.28220999240875244, -0.35923001170158386, 0.0982000008225441, 0.2435300052165985, -0.19437000155448914, 0.28661999106407166, 0.20746000111103058]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A1,offset,4,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[-0.16669000685214996, -0.5061200261116028, 0.5342599749565125, -0.17102999985218048, -0.08068999648094177, -0.5577800273895264, 0.9480400085449219]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A1,scale,4,"[0.2747099995613098, 0.25979000329971313, 0.3014099895954132, 0.23396000266075134, 0.26993000507354736, 0.2117300033569336, 0.2900800108909607]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A1,full,5,"[0.2572700083255768, 0.277539998292923, 0.28505000472068787, 0.22453999519348145, 0.3078100085258484, 0.2044299989938736, 0.24672000110149384]","[0.0228899996727705, -0.516569972038269, 0.0028299998957663774, 0.17892000079154968, -0.19988000392913818, 0.2312999963760376, 0.2805199921131134]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A1,offset,5,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.15185000002384186, -0.35436999797821045, 0.3575200140476227, -0.3081600069999695, 0.2289000004529953, -0.6160600185394287, 0.5403100252151489]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A1,scale,5,"[0.2587699890136719, 0.24974000453948975, 0.2818300127983093, 0.23413999378681183, 0.2839199900627136, 0.21624000370502472, 0.26739999651908875]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A1,full,6,"[0.3100999891757965, 0.3216800093650818, 0.28937000036239624, 0.20848000049591064, 0.2930299937725067, 0.20987999439239502, 0.2552199959754944]","[-0.011760000139474869, -0.43755000829696655, 0.06334999948740005, 0.28384000062942505, -0.22982999682426453, 0.207179993391037, 0.12477999925613403]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A1,offset,6,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.3985300064086914, -0.27667000889778137, 0.1909399926662445, -0.27928000688552856, 0.14920000731945038, -0.43988001346588135, 0.2571600079536438]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A1,scale,6,"[0.30849000811576843, 0.2933200001716614, 0.2917900085449219, 0.2277500033378601, 0.2685199975967407, 0.2219099998474121, 0.2623099982738495]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A1,full,7,"[0.36169999837875366, 0.3699899911880493, 0.3577499985694885, 0.24223999679088593, 0.2856200039386749, 0.2575500011444092, 0.27414000034332275]","[-0.2528199851512909, -0.3905400037765503, -0.07012999802827835, 0.3278000056743622, 0.04261000081896782, 0.0603800006210804, 0.2827000021934509]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A1,offset,7,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[-0.016300000250339508, -0.19547000527381897, 0.5103399753570557, -0.1828099936246872, -0.12761999666690826, -0.4582799971103668, 0.47012999653816223]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A1,scale,7,"[0.3372099995613098, 0.33855998516082764, 0.3462199866771698, 0.26853999495506287, 0.2848300039768219, 0.2575500011444092, 0.2955099940299988]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A1,full,8,"[0.2828400135040283, 0.29853999614715576, 0.27821001410484314, 0.20055000483989716, 0.27772000432014465, 0.22291000187397003, 0.2608200013637543]","[-0.1397400051355362, -0.44190001487731934, 0.06589999794960022, 0.24007000029087067, -0.05452999845147133, 0.19575999677181244, 0.1344500035047531]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A1,offset,8,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.09850999712944031, -0.2768700122833252, 0.3908799886703491, -0.6978099942207336, 0.16479000449180603, -0.10126999765634537, 0.421779990196228]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A1,scale,8,"[0.2712100148200989, 0.2705399990081787, 0.28001001477241516, 0.21172000467777252, 0.26701000332832336, 0.23467999696731567, 0.267769992351532]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A1,full,9,"[0.31064000725746155, 0.3161900043487549, 0.28676000237464905, 0.21268999576568604, 0.2725600004196167, 0.2153100073337555, 0.3029400110244751]","[-0.15863999724388123, -0.4259600043296814, 0.0652099996805191, 0.19200000166893005, 0.01703999936580658, 0.20237000286579132, 0.10798999667167664]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A1,offset,9,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.03654000163078308, -0.2514899969100952, 0.21122999489307404, -0.6157400012016296, 0.3080199956893921, -0.5021799802780151, 0.8136299848556519]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A1,scale,9,"[0.2957099974155426, 0.28738999366760254, 0.2878200113773346, 0.2213200032711029, 0.2682099938392639, 0.22658999264240265, 0.3079400062561035]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A1,full,10,"[0.27167001366615295, 0.2919900119304657, 0.25936999917030334, 0.2377600073814392, 0.2922300100326538, 0.20878000557422638, 0.20128999650478363]","[-0.13109999895095825, -0.4819200038909912, 0.133310005068779, 0.004220000002533197, -0.14555999636650085, 0.042729999870061874, 0.5783299803733826]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A1,offset,10,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.024320000782608986, -0.33594000339508057, 0.11766000092029572, -0.4268600046634674, 0.28501999378204346, -0.9705399870872498, 1.306339979171753]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A1,scale,10,"[0.26159000396728516, 0.26218000054359436, 0.2663399875164032, 0.2277899980545044, 0.2697499990463257, 0.19954000413417816, 0.24839000403881073]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A1,full,11,"[0.2961300015449524, 0.3052699863910675, 0.29752999544143677, 0.225490003824234, 0.297109991312027, 0.20566999912261963, 0.2542400062084198]","[-0.05688000097870827, -0.40911000967025757, 0.05621999874711037, 0.16940000653266907, -0.1651799976825714, 0.2023099958896637, 0.20322999358177185]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A1,offset,11,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.2556999921798706, -0.26120999455451965, 0.4038099944591522, -0.48357000946998596, 0.5262799859046936, -0.7250999808311462, 0.2840900123119354]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A1,scale,11,"[0.2909800112247467, 0.28071001172065735, 0.2989700138568878, 0.23463000357151031, 0.27893000841140747, 0.21535000205039978, 0.267630010843277]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A1,full,12,"[0.3131299912929535, 0.27233999967575073, 0.27206000685691833, 0.24713000655174255, 0.3129799962043762, 0.216279998421669, 0.28115999698638916]","[-0.17358000576496124, -0.3915199935436249, 0.18463000655174255, 0.14733999967575073, -0.11878000199794769, 0.24404999613761902, 0.10785999894142151]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A1,offset,12,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.07941000163555145, -0.6047000288963318, 0.29844000935554504, -0.15220999717712402, 0.4730199873447418, -0.5763099789619446, 0.4823499917984009]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A1,scale,12,"[0.2968200147151947, 0.2520099878311157, 0.2860400080680847, 0.25540000200271606, 0.2964800000190735, 0.22991999983787537, 0.2862899899482727]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
